crawler_time,publish_time,company,href,location,monthly_salary,position_title
2015-10-19 13:31:26,10-19,东北亚,http://jobs.zhaopin.com/334750818250520.htm,大连,面议,销售经理--煤炭销售
2015-10-19 13:31:26,10-19,中央财经大学中国,http://jobs.zhaopin.com/207758918250003.htm,北京 - 海淀区,面议,煤炭经济研究实习生
2015-10-19 13:31:26,10-19,北京龙软科技股份有限公司,http://jobs.zhaopin.com/120911473250407.htm,北京 - 海淀区,面议,售前工程师（煤炭行业）
2015-10-19 13:31:26,10-19,厦门象屿股份有限公司,http://jobs.zhaopin.com/406539717250753.htm,广州,面议,煤炭业务员
2015-10-19 13:31:26,10-19,途易微聘咨询(北京)有限公司,http://jobs.zhaopin.com/678052021250012.htm,北京,6001-8000,能源（煤炭 石油 天然气 水能）行业分析师
2015-10-19 13:31:26,10-19,华润电力控股有限公司,http://jobs.zhaopin.com/195096526250558.htm,太原,面议,高级法律顾问（煤炭事业部）
2015-10-19 13:31:26,10-19,广州市资安商贸有限公司,http://jobs.zhaopin.com/290710330250011.htm,广州,15001-20000,煤炭事业部 副总经理
2015-10-19 13:31:26,10-19,广州市资安商贸有限公司,http://jobs.zhaopin.com/290710330250010.htm,广州,20001-30000,煤炭事业部 总经理
2015-10-19 13:31:26,10-19,青岛大宗商品交易中心有限公司,http://jobs.zhaopin.com/344575615250320.htm,青岛 - 崂山区,面议,煤炭业务主管
2015-10-19 13:31:26,10-19,河南中富国瑞投资有限公司,http://jobs.zhaopin.com/225074523250390.htm,郑州 - 郑东新区,2001-4000,（煤炭板块）业务主管
2015-10-19 13:31:26,10-19,河南中富国瑞投资有限公司,http://jobs.zhaopin.com/225074523250391.htm,郑州 - 郑东新区,4001-6000,采购经理（煤炭板块）
2015-10-19 13:31:26,10-19,北京威努特技术有限公司,http://jobs.zhaopin.com/202145588250032.htm,北京,15001-20000,煤炭行业销售
2015-10-19 13:31:26,10-19,青岛铁海,http://jobs.zhaopin.com/135530883250061.htm,青岛,面议,煤炭项目运营
2015-10-19 13:31:26,10-19,青岛铁海,http://jobs.zhaopin.com/135530883250065.htm,青岛 - 胶州市,2001-4000,煤炭检验员
2015-10-19 13:31:26,10-19,山西怡佳房地产开发有限公司,http://jobs.zhaopin.com/442734813250190.htm,太原,面议,煤炭公司拓展专员
2015-10-19 13:31:26,10-19,庆华集团国际贸易有限公司,http://jobs.zhaopin.com/474067119250001.htm,天津,面议,总监（煤炭、焦炭）
2015-10-19 13:31:26,10-19,山东富国能源有限责任公司,http://jobs.zhaopin.com/494466929250253.htm,临沂,面议,煤炭贸易
2015-10-19 13:31:26,10-19,青岛利源好能源有限公司,http://jobs.zhaopin.com/200312121250172.htm,青岛 - 市南区,6001-8000,煤炭销售代表
2015-10-19 13:31:26,10-19,青岛利源好能源有限公司,http://jobs.zhaopin.com/200312121250288.htm,青岛,面议,国际采购（煤炭/矿石）
2015-10-19 13:31:26,10-19,晟通科技集团有限公司,http://jobs.zhaopin.com/144273219258040.htm,长沙,6001-8000,煤炭销售经理
2015-10-19 13:31:26,10-19,河北冉耀贸易有限公司,http://jobs.zhaopin.com/645288327250000.htm,邯郸,2001-4000,销售(煤炭/焦炭/铁矿石)
